FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-03-28,CUSCO,FEMENINO,2
2020-03-28,CUSCO,MASCULINO,2
2020-03-28,JUNIN,MASCULINO,1
2020-03-28,LA LIBERTAD,MASCULINO,2
2020-03-28,LAMBAYEQUE,MASCULINO,6
2020-03-28,LIMA,FEMENINO,31
2020-03-28,LIMA,MASCULINO,46
2020-03-28,LORETO,FEMENINO,6
2020-03-28,LORETO,MASCULINO,19
2020-03-28,PIURA,FEMENINO,1
2020-03-28,SAN MARTIN,FEMENINO,1
2020-03-28,SAN MARTIN,MASCULINO,1
2020-03-28,TACNA,FEMENINO,1
2020-03-28,TUMBES,FEMENINO,1
2020-03-28,TUMBES,MASCULINO,1
2020-03-29,ANCASH,FEMENINO,1
2020-03-29,ANCASH,MASCULINO,4
2020-03-29,AREQUIPA,FEMENINO,3
2020-03-29,AREQUIPA,MASCULINO,3
2020-03-29,CALLAO,FEMENINO,2
2020-03-29,CALLAO,MASCULINO,7
2020-03-29,CUSCO,FEMENINO,3
2020-03-29,CUSCO,MASCULINO,2
2020-03-29,LA LIBERTAD,MASCULINO,1
2020-03-29,LAMBAYEQUE,FEMENINO,1
2020-03-29,LIMA,FEMENINO,40
2020-03-29,LIMA,MASCULINO,62
2020-03-29,LORETO,FEMENINO,1
2020-03-29,SAN MARTIN,MASCULINO,1
2020-03-29,TUMBES,FEMENINO,1
2020-03-30,AREQUIPA,FEMENINO,1
2020-03-30,AREQUIPA,MASCULINO,4
2020-03-30,CALLAO,MASCULINO,1
2020-03-30,CUSCO,MASCULINO,1
2020-03-30,HUANUCO,FEMENINO,1
2020-03-30,JUNIN,FEMENINO,2
2020-03-30,JUNIN,MASCULINO,2
2020-03-30,LA LIBERTAD,FEMENINO,2
2020-03-30,LA LIBERTAD,MASCULINO,2
2020-03-30,LAMBAYEQUE,FEMENINO,1
2020-03-30,LAMBAYEQUE,MASCULINO,4
2020-03-30,LIMA,FEMENINO,39
2020-03-30,LIMA,MASCULINO,44
2020-03-30,LORETO,FEMENINO,4
2020-03-30,LORETO,MASCULINO,1
2020-03-30,SAN MARTIN,MASCULINO,1
2020-03-30,TUMBES,MASCULINO,2
2020-03-31,ANCASH,FEMENINO,1
2020-03-31,ANCASH,MASCULINO,1
2020-03-31,AREQUIPA,FEMENINO,2
2020-03-31,AREQUIPA,MASCULINO,2
2020-03-31,CALLAO,FEMENINO,5
2020-03-31,CALLAO,MASCULINO,7
2020-03-31,CUSCO,FEMENINO,3
2020-03-31,CUSCO,MASCULINO,4
2020-03-31,HUANCAVELICA,MASCULINO,1
2020-03-31,ICA,FEMENINO,2
2020-03-31,ICA,MASCULINO,1
2020-03-31,LA LIBERTAD,FEMENINO,5
2020-03-31,LA LIBERTAD,MASCULINO,4
2020-03-31,LAMBAYEQUE,FEMENINO,2
2020-03-31,LAMBAYEQUE,MASCULINO,2
2020-03-31,LIMA,FEMENINO,67
2020-03-31,LIMA,MASCULINO,118
2020-03-31,LORETO,FEMENINO,3
2020-03-31,LORETO,MASCULINO,1
2020-03-31,PIURA,FEMENINO,3
2020-03-31,PIURA,MASCULINO,1
2020-03-31,TACNA,FEMENINO,1
2020-03-31,TUMBES,FEMENINO,2
2020-03-31,TUMBES,MASCULINO,1
2020-04-01,APURIMAC,MASCULINO,1
2020-04-01,CAJAMARCA,FEMENINO,1
2020-04-01,CALLAO,FEMENINO,3
2020-04-01,CALLAO,MASCULINO,16
2020-04-01,CUSCO,FEMENINO,1
2020-04-01,CUSCO,MASCULINO,3
2020-04-01,JUNIN,FEMENINO,1
2020-04-01,JUNIN,MASCULINO,1
2020-04-01,LA LIBERTAD,FEMENINO,3
2020-04-01,LA LIBERTAD,MASCULINO,4
2020-04-01,LAMBAYEQUE,FEMENINO,1
2020-04-01,LIMA,FEMENINO,18
2020-04-01,LIMA,MASCULINO,41
2020-04-01,LORETO,FEMENINO,7
2020-04-01,LORETO,MASCULINO,4
2020-04-01,MADRE DE DIOS,FEMENINO,1
2020-04-01,PIURA,FEMENINO,2
2020-04-01,PIURA,MASCULINO,3
2020-04-01,TUMBES,MASCULINO,2
2020-04-02,ANCASH,MASCULINO,2
2020-04-02,AREQUIPA,FEMENINO,2
2020-04-02,AREQUIPA,MASCULINO,4
2020-04-02,CAJAMARCA,FEMENINO,1
2020-04-02,CALLAO,FEMENINO,2
2020-04-02,CALLAO,MASCULINO,4
2020-04-02,CUSCO,FEMENINO,1
2020-04-02,CUSCO,MASCULINO,6
2020-04-02,LA LIBERTAD,FEMENINO,3
2020-04-02,LA LIBERTAD,MASCULINO,4
2020-04-02,LAMBAYEQUE,MASCULINO,5
2020-04-02,LIMA,FEMENINO,66
2020-04-02,LIMA,MASCULINO,99
2020-04-02,LORETO,FEMENINO,5
